id,prices.amountMax,prices.availability,prices.condition,prices.isSale,prices.merchant,brand,dateAdded,primaryCategories,weight,,,,,
AVphzgbJLJeJML43fA0o,104.99,Yes,New,FALSE,Bestbuy.com,Sanus,2015-04-13T12:00:51Z,Electronics,32.8 pounds,,,,,
AVpgMuGwLJeJML43KY_c,69,In Stock,New,TRUE,Walmart.com,Boytone,2015-05-18T14:14:56Z,Electronics,14 pounds,,,,,
AVpgMuGwLJeJML43KY_c,69,In Stock,New,FALSE,Walmart.com,Boytone,2015-05-18T14:14:56Z,Electronics,14 pounds,,,,,
AVpgMuGwLJeJML43KY_c,69.99,Yes,New,FALSE,Bestbuy.com,Boytone,2015-05-18T14:14:56Z,Electronics,14 pounds,,,,,
AVpgMuGwLJeJML43KY_c,66.99,Yes,New,FALSE,Bestbuy.com,Boytone,2015-05-18T14:14:56Z,Electronics,14 pounds,,,,,
AVpgMuGwLJeJML43KY_c,66,In Stock,New,FALSE,Walmart.com,Boytone,2015-05-18T14:14:56Z,Electronics,14 pounds,,,,,
AVpgMuGwLJeJML43KY_c,74.99,In Stock,New,FALSE,California Electronics,Boytone,2015-05-18T14:14:56Z,Electronics,14 pounds,,,,,
AVpgMuGwLJeJML43KY_c,65.99,Yes,New,FALSE,Bestbuy.com,Boytone,2015-05-18T14:14:56Z,Electronics,14 pounds,,,,,
AVpgMuGwLJeJML43KY_c,69.99,In Stock,New,FALSE,Walmart.com,Boytone,2015-05-18T14:14:56Z,Electronics,14 pounds,,,,,
AVpgMuGwLJeJML43KY_c,69,In Stock,New,TRUE,Walmart.com,Boytone,2015-05-18T14:14:56Z,Electronics,14 pounds,,,,,
AVpgMuGwLJeJML43KY_c,69.99,TRUE,new,FALSE,Bestbuy.com,Boytone,2015-05-18T14:14:56Z,Electronics,14 pounds,,,,,
AVpgMuGwLJeJML43KY_c,64.99,In Stock,New,FALSE,Walmart.com,Boytone,2015-05-18T14:14:56Z,Electronics,14 pounds,,,,,
AVpgMuGwLJeJML43KY_c,64.99,Yes,New,FALSE,Bestbuy.com,Boytone,2015-05-18T14:14:56Z,Electronics,14 pounds,,,,,
AVpe9FXeLJeJML43zHrq,23.99,TRUE,new,FALSE,Bestbuy.com,DENAQ,2015-03-18T12:41:16Z,Electronics,1.2 pounds,,,,,
AVpe9FXeLJeJML43zHrq,31.99,TRUE,new,FALSE,Wayfair - Walmart.com,DENAQ,2015-03-18T12:41:16Z,Electronics,1.2 pounds,,,,,
